Date,Open,High,Low,Close,Volume,Turnover
2008-01-21,5705.0,5705.0,4977.1,5208.8,211347217,125890900000.0
2008-01-22,5203.35,5203.35,4448.5,4899.3,200603284,115654100000.0
2008-01-23,4903.05,5328.05,4891.6,5203.4,172729968,100293000000.0
2008-01-24,5208.0,5357.2,4995.8,5033.45,145355769,83024200000.0
2008-01-25,5035.05,5399.25,5035.05,5383.35,105876191,62288400000.0
2008-01-28,5380.95,5380.95,5071.0,5274.1,94557347,53266899999.99999
2008-01-29,5279.55,5391.6,5225.25,5280.8,99068477,55531899999.99999
2008-01-30,5283.75,5314.3,5142.25,5167.6,101260486,53318900000.0
2008-01-31,5172.25,5251.65,5071.15,5137.45,187588589,102454300000.0
2008-02-01,5140.6,5339.95,5090.75,5317.25,106716699,59658200000.0
2008-02-04,5315.55,5545.2,5315.55,5463.5,105796179,62786899999.99999
2008-02-05,5463.75,5500.6,5412.95,5483.9,96724766,52523900000.0
2008-02-06,5470.4,5470.4,5257.05,5322.55,106220956,57051300000.0
2008-02-07,5322.55,5344.6,5113.85,5133.25,103085491,56876000000.0
2008-02-08,5132.1,5173.85,5034.25,5120.35,108947080,59602900000.0
2008-02-11,5120.55,5126.4,4803.6,4857.0,125724868,74326400000.0
2008-02-12,4877.85,4949.6,4820.45,4838.25,102374113,57291200000.0
2008-02-13,4836.55,4986.55,4836.55,4929.45,104398927,57335500000.0
2008-02-14,4944.65,5220.25,4944.65,5202.0,106458411,59362100000.0
2008-02-15,5202.85,5315.4,5104.75,5302.9,110683112,57674799999.99999
2008-02-18,5304.45,5348.6,5224.0,5276.9,77582930,37487600000.0
2008-02-19,5278.4,5368.45,5262.0,5280.8,88665218,43740200000.00001
2008-02-20,5267.15,5267.15,5116.3,5154.45,89916733,48983100000.00001
2008-02-21,5156.9,5241.35,5120.05,5191.8,89877229,47955400000.0
2008-02-22,5183.4,5184.0,5092.8,5110.75,72385283,41256600000.0
2008-02-25,5112.25,5212.35,5055.15,5200.7,78356314,46311100000.0
2008-02-26,5200.8,5281.2,5200.8,5270.05,86295954,46536500000.0
2008-02-27,5271.4,5368.15,5249.75,5268.4,91216141,56132000000.0
2008-02-28,5266.35,5302.85,5227.15,5285.1,108030320,66659399999.99999
2008-02-29,5285.0,5290.8,5098.35,5223.5,165090052,79051400000.0
2008-03-03,5222.8,5222.8,4936.05,4953.0,150762989,69007700000.0
2008-03-04,4958.55,4976.7,4812.95,4864.25,150910718,72768900000.0
2008-03-05,4866.85,4936.75,4847.25,4921.4,114859430,61650300000.0
2008-03-07,4918.3,4918.3,4672.25,4771.6,146225530,78778900000.0
2008-03-10,4767.8,4814.95,4620.5,4800.4,155966648,87664500000.0
2008-03-11,4796.3,4888.5,4732.85,4865.9,158842196,79333100000.0
2008-03-12,4869.75,5019.2,4854.75,4872.0,135721301,69132100000.0
2008-03-13,4868.7,4868.8,4580.15,4623.6,137742263,65114500000.0
2008-03-14,4623.8,4758.95,4607.55,4745.8,177665094,73838800000.0
2008-03-17,4745.45,4745.45,4482.1,4503.1,143351899,64498900000.0
2008-03-18,4519.9,4617.95,4468.55,4533.0,170020881,79876000000.0
2008-03-19,4534.75,4718.4,4533.9,4573.95,164033720,75578900000.0
2008-03-24,4576.8,4649.45,4539.8,4609.85,123982175,59009300000.0
2008-03-25,4616.8,4896.8,4616.8,4877.5,145601277,72902200000.0
2008-03-26,4878.7,4912.3,4808.65,4828.85,126360231,58147500000.0
2008-03-27,4828.8,4863.75,4769.6,4830.25,180115315,84037400000.0
2008-03-28,4830.0,4970.8,4796.35,4942.0,164141244,74872200000.0
2008-03-31,4942.15,4947.0,4703.85,4734.5,150089100,74108000000.0
2008-04-01,4735.65,4800.75,4628.75,4739.55,119878713,58751000000.0
2008-04-02,4741.4,4916.75,4741.4,4754.2,115678126,57081899999.99999
2008-04-03,4753.9,4833.25,4738.2,4771.6,130583246,66363900000.0
2008-04-04,4766.7,4791.7,4632.7,4647.0,132143809,66266200000.0
2008-04-07,4631.35,4798.55,4628.8,4761.2,124925089,64045900000.0
2008-04-08,4760.65,4769.55,4677.8,4709.65,113783563,63003800000.0
2008-04-09,4707.05,4758.25,4667.5,4747.05,101430145,50710700000.0
2008-04-10,4747.55,4799.5,4720.9,4733.0,150146637,69196000000.0
2008-04-11,4734.35,4817.4,4727.25,4777.8,132775090,65125400000.0
2008-04-15,4779.95,4917.1,4708.3,4879.65,152133622,74831400000.0
2008-04-16,4881.65,4951.4,4874.05,4887.3,137348930,66953400000.0
2008-04-17,4890.6,4984.95,4889.65,4958.4,135283525,65871400000.0
2008-04-21,4955.9,5053.4,4955.9,5037.0,110601430,57152100000.0
2008-04-22,5037.05,5074.25,4994.05,5049.3,126837163,62686800000.0
2008-04-23,5044.35,5083.5,5003.55,5022.8,146161834,66823000000.0
2008-04-24,5022.9,5072.7,4991.35,4999.85,154288468,74922100000.0
2008-04-25,4999.15,5117.7,4999.15,5111.7,134465254,71090000000.0
2008-04-28,5112.5,5147.45,5079.15,5089.65,110778893,60117800000.0
2008-04-29,5092.4,5210.9,5082.15,5195.5,215000545,92565100000.0
2008-04-30,5198.35,5230.75,5155.85,5165.9,146277434,75700800000.0
2008-05-02,5265.3,5298.85,5197.6,5228.2,131260266,71161300000.0
2008-05-05,5227.25,5254.5,5182.6,5192.25,125641202,64335500000.0
2008-05-06,5192.35,5206.5,5110.9,5144.65,131800270,69183700000.0
2008-05-07,5156.7,5159.05,5101.25,5135.5,153438748,76191000000.0
2008-05-08,5135.8,5143.05,5062.45,5081.7,127167885,63062700000.00001
2008-05-09,5070.85,5087.65,4969.4,4982.6,142385969,68758100000.0
2008-05-12,4981.0,5021.75,4913.8,5012.65,151227287,66554399999.99999
2008-05-13,5008.6,5066.0,4943.75,4957.8,158521953,72431400000.0
2008-05-14,4958.45,5026.1,4932.05,5011.75,147937974,67313000000.0
2008-05-15,5010.9,5118.55,4999.6,5115.25,150871774,78403800000.0
2008-05-16,5115.65,5167.4,5106.4,5157.7,152622286,67757299999.99999
2008-05-20,5157.0,5160.05,5072.4,5104.95,158813241,70329100000.0
2008-05-21,5105.7,5135.55,5048.7,5117.65,163032543,71587700000.0
2008-05-22,5117.0,5118.9,5010.7,5025.45,113544128,56930600000.00001
2008-05-23,5026.55,5059.05,4940.7,4946.55,152368191,65934500000.0
2008-05-26,4953.6,4953.6,4858.0,4875.05,124506200,60989600000.0
2008-05-27,4877.15,4932.0,4846.2,4859.8,120401073,55710700000.0
2008-05-28,4862.7,4926.9,4835.65,4918.35,140737265,68921300000.0
2008-05-29,4926.3,4957.4,4801.9,4835.3,194902303,98388799999.99998
2008-05-30,4844.05,4908.85,4833.45,4870.1,138696130,77226700000.0
2008-06-02,4869.25,4908.8,4713.0,4739.6,118396812,59912000000.0
2008-06-03,4739.3,4739.3,4634.0,4715.9,140745401,67641300000.0
2008-06-04,4718.7,4731.5,4564.5,4585.6,154838181,73088100000.0
2008-06-05,4586.95,4690.6,4536.25,4676.95,169638133,95606000000.0
2008-06-06,4680.55,4746.3,4614.25,4627.8,132088975,70524700000.0
2008-06-09,4626.45,4626.45,4411.6,4500.95,175247907,84313400000.0
2008-06-10,4522.0,4522.55,4369.8,4449.8,165412516,82147000000.0
2008-06-11,4469.65,4541.05,4468.05,4523.6,166416446,81262600000.0
2008-06-12,4524.4,4550.0,4392.0,4539.35,164247033,76535600000.0
2008-06-13,4539.5,4563.35,4491.35,4517.1,139532826,63398000000.0
2008-06-16,4536.3,4617.7,4536.3,4572.5,111415055,56522800000.0
2008-06-17,4572.5,4664.05,4561.75,4653.0,107221118,55118800000.0
2008-06-18,4652.8,4679.75,4569.9,4582.4,136923928,61358400000.0
2008-06-19,4582.55,4585.7,4488.95,4504.25,102266764,49549700000.0
2008-06-20,4504.2,4532.0,4333.6,4347.55,133685260,69110300000.0
2008-06-23,4351.15,4351.15,4225.5,4266.4,126376126,61215200000.00001
2008-06-24,4271.05,4305.9,4156.1,4191.1,132477086,64968100000.00001
2008-06-25,4189.6,4264.55,4093.2,4252.65,152437781,69603600000.0
2008-06-26,4252.6,4324.75,4230.0,4315.85,196473131,93524300000.0
2008-06-27,4315.3,4315.3,4119.2,4136.65,177324470,78831600000.0
2008-06-30,4136.25,4163.0,4021.7,4040.55,144491241,65238600000.0
2008-07-01,4039.75,4075.4,3878.2,3896.75,164469220,69399300000.0
2008-07-02,3895.3,4107.15,3848.25,4093.35,199920144,89094400000.0
2008-07-03,4094.6,4097.35,3874.85,3925.75,154573765,71014200000.0
2008-07-04,3926.65,4033.5,3896.4,4016.0,152045352,65633600000.0
2008-07-07,4002.0,4114.5,4002.0,4030.0,125737237,55172100000.0
2008-07-08,4028.7,4028.7,3896.05,3988.55,135090953,61668300000.0
2008-07-09,3990.9,4169.4,3990.9,4157.1,144597409,65956100000.0
2008-07-10,4155.65,4187.95,4110.4,4162.2,146458190,63547900000.0
2008-07-11,4166.0,4215.5,4014.45,4049.0,137337875,69475300000.0
2008-07-14,4047.45,4118.1,4004.25,4039.7,126882896,60628700000.0
2008-07-15,4039.3,4040.7,3835.5,3861.1,142682247,66455600000.00001
2008-07-16,3861.55,3920.05,3790.2,3816.7,185428595,74728800000.0
2008-07-17,3823.15,3968.75,3823.15,3947.2,180239171,72887600000.0
2008-07-18,3962.95,4110.55,3926.3,4092.25,175068345,78952100000.0
2008-07-21,4092.2,4168.15,4072.75,4159.5,136720904,64872400000.0
2008-07-22,4158.45,4262.45,4137.95,4240.1,165666075,75604100000.0
2008-07-23,4246.7,4491.55,4246.7,4476.8,233619126,117722600000.0
2008-07-24,4476.2,4539.45,4385.85,4433.55,177026127,92733900000.0
2008-07-25,4440.85,4440.85,4297.15,4311.85,161681204,85160000000.0
